transaction_id,is_fraud
tx_f9cdb1b0_7_5421,0
tx_f9cdb1b0_13_2180,0
tx_f9cdb1b0_33_6381,1
tx_f9cdb1b0_35_4130,0
tx_f9cdb1b0_51_9809,1
tx_f9cdb1b0_53_7057,1
tx_f9cdb1b0_76_6369,1
tx_f9cdb1b0_99_4007,1
tx_f9cdb1b0_100_8857,1
tx_f9cdb1b0_103_5112,1
tx_f9cdb1b0_115_1829,1
tx_f9cdb1b0_130_4651,1
tx_f9cdb1b0_133_9421,1
tx_f9cdb1b0_135_8446,1
tx_f9cdb1b0_138_3201,1
tx_f9cdb1b0_164_5873,1
tx_f9cdb1b0_167_1593,1
tx_f9cdb1b0_173_2335,0
tx_f9cdb1b0_179_4335,0
tx_f9cdb1b0_183_4992,1
tx_f9cdb1b0_187_8301,1
tx_f9cdb1b0_190_3406,1
tx_f9cdb1b0_192_3830,1
tx_f9cdb1b0_210_7596,1
tx_f9cdb1b0_223_8032,1
tx_f9cdb1b0_228_5985,1
tx_f9cdb1b0_233_4914,1
tx_f9cdb1b0_234_3075,1
tx_f9cdb1b0_243_8049,1
tx_f9cdb1b0_265_3699,1
tx_f9cdb1b0_274_3082,1
tx_f9cdb1b0_285_6190,0
tx_f9cdb1b0_292_4365,0
tx_f9cdb1b0_294_7580,1
tx_f9cdb1b0_304_5926,1
tx_f9cdb1b0_310_3900,1
tx_f9cdb1b0_322_6192,1
tx_f9cdb1b0_330_9441,0
tx_f9cdb1b0_332_5390,1
tx_f9cdb1b0_340_3916,1
tx_f9cdb1b0_352_8804,1
tx_f9cdb1b0_360_2173,0
tx_f9cdb1b0_373_4521,1
tx_f9cdb1b0_384_2026,0
tx_f9cdb1b0_394_6659,1
tx_f9cdb1b0_402_8413,1
tx_f9cdb1b0_415_1138,1
tx_f9cdb1b0_422_9423,0
tx_f9cdb1b0_442_9515,1
tx_f9cdb1b0_445_5155,1
tx_f9cdb1b0_449_3347,1
tx_f9cdb1b0_459_3472,1
tx_f9cdb1b0_500_2709,1
tx_f9cdb1b0_508_1452,1
tx_f9cdb1b0_542_1529,1
tx_f9cdb1b0_553_6855,1
tx_f9cdb1b0_567_6751,1
tx_f9cdb1b0_569_2964,1
tx_d5f1319f_0_7659,1
tx_d5f1319f_11_8006,1
tx_d5f1319f_16_4226,0
tx_d5f1319f_25_6558,1
tx_d5f1319f_35_1832,1
tx_d5f1319f_39_6910,1
tx_d5f1319f_43_2771,1
tx_d5f1319f_46_2035,1
tx_d5f1319f_64_8762,1
tx_d5f1319f_72_5464,1
tx_d5f1319f_81_2487,1
tx_d5f1319f_84_1439,1
tx_d5f1319f_113_3242,1
tx_d5f1319f_116_9177,1
